  
       XFOIL         Version 6.99
  
 Calculated polar for: SD7003-085-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   6.100   0.8559   0.00916   0.00352  -0.0339   0.1096   1.0000
   6.200   0.8665   0.00930   0.00363  -0.0338   0.1044   1.0000
   6.300   0.8773   0.00940   0.00372  -0.0338   0.1007   1.0000
   6.400   0.8880   0.00952   0.00382  -0.0337   0.0962   1.0000
   6.500   0.8986   0.00966   0.00394  -0.0336   0.0920   1.0000
   6.600   0.9094   0.00975   0.00403  -0.0336   0.0886   1.0000
   6.700   0.9200   0.00989   0.00415  -0.0335   0.0846   1.0000
   6.800   0.9306   0.01002   0.00427  -0.0334   0.0808   1.0000
   6.900   0.9413   0.01013   0.00438  -0.0334   0.0772   1.0000
   7.000   0.9519   0.01028   0.00450  -0.0333   0.0734   1.0000
   7.100   0.9624   0.01041   0.00462  -0.0332   0.0696   1.0000
   7.200   0.9731   0.01053   0.00474  -0.0332   0.0667   1.0000
   7.300   0.9834   0.01071   0.00488  -0.0331   0.0623   1.0000
   7.400   0.9940   0.01083   0.00501  -0.0330   0.0597   1.0000
   7.500   1.0045   0.01096   0.00514  -0.0329   0.0565   1.0000
   7.600   1.0148   0.01115   0.00529  -0.0328   0.0529   1.0000
   7.700   1.0254   0.01127   0.00543  -0.0327   0.0504   1.0000
   7.800   1.0358   0.01142   0.00557  -0.0326   0.0477   1.0000
   7.900   1.0459   0.01162   0.00574  -0.0325   0.0439   1.0000
   8.000   1.0564   0.01175   0.00588  -0.0324   0.0417   1.0000
   8.100   1.0667   0.01192   0.00604  -0.0323   0.0388   1.0000
   8.200   1.0766   0.01214   0.00624  -0.0322   0.0352   1.0000
   8.300   1.0869   0.01230   0.00640  -0.0321   0.0327   1.0000
   8.400   1.0966   0.01257   0.00664  -0.0319   0.0287   1.0000
   8.500   1.1068   0.01276   0.00682  -0.0318   0.0262   1.0000
   8.600   1.1166   0.01300   0.00705  -0.0317   0.0239   1.0000
   8.700   1.1265   0.01322   0.00728  -0.0315   0.0222   1.0000
   8.800   1.1364   0.01342   0.00748  -0.0313   0.0209   1.0000
   8.900   1.1459   0.01368   0.00774  -0.0311   0.0194   1.0000
   9.000   1.1551   0.01399   0.00806  -0.0308   0.0182   1.0000
   9.100   1.1652   0.01417   0.00826  -0.0307   0.0178   1.0000
   9.200   1.1752   0.01435   0.00847  -0.0306   0.0174   1.0000
   9.300   1.1852   0.01456   0.00870  -0.0304   0.0169   1.0000
   9.400   1.1950   0.01476   0.00892  -0.0303   0.0164   1.0000
   9.500   1.2048   0.01501   0.00918  -0.0301   0.0160   1.0000
   9.600   1.2143   0.01525   0.00944  -0.0299   0.0155   1.0000
   9.700   1.2235   0.01556   0.00977  -0.0297   0.0150   1.0000
   9.800   1.2325   0.01591   0.01015  -0.0294   0.0146   1.0000
   9.900   1.2416   0.01623   0.01051  -0.0292   0.0141   1.0000
  10.000   1.2512   0.01645   0.01076  -0.0290   0.0140   1.0000
  10.100   1.2608   0.01668   0.01102  -0.0289   0.0138   1.0000
  10.200   1.2704   0.01689   0.01125  -0.0287   0.0135   1.0000
  10.300   1.2798   0.01714   0.01153  -0.0285   0.0133   1.0000
  10.400   1.2891   0.01741   0.01183  -0.0283   0.0131   1.0000
  10.500   1.2986   0.01763   0.01207  -0.0282   0.0127   1.0000
  10.600   1.3079   0.01788   0.01235  -0.0280   0.0125   1.0000
  10.700   1.3171   0.01814   0.01263  -0.0278   0.0123   1.0000
  10.800   1.3260   0.01846   0.01298  -0.0276   0.0120   1.0000
  10.900   1.3345   0.01881   0.01335  -0.0274   0.0118   1.0000
  11.000   1.3425   0.01924   0.01382  -0.0271   0.0115   1.0000
  11.100   1.3479   0.01999   0.01462  -0.0265   0.0111   1.0000
  11.200   1.3556   0.02039   0.01507  -0.0262   0.0110   1.0000
  11.300   1.3643   0.02066   0.01538  -0.0259   0.0109   1.0000
  11.400   1.3734   0.02087   0.01561  -0.0257   0.0108   1.0000
  11.500   1.3824   0.02108   0.01585  -0.0255   0.0106   1.0000
  11.600   1.3902   0.02144   0.01625  -0.0252   0.0105   1.0000
  11.700   1.3988   0.02171   0.01655  -0.0249   0.0103   1.0000
  11.800   1.4069   0.02202   0.01690  -0.0246   0.0101   1.0000
  11.900   1.4143   0.02240   0.01730  -0.0243   0.0100   1.0000
  12.000   1.4216   0.02277   0.01772  -0.0239   0.0098   1.0000
  12.100   1.4302   0.02299   0.01795  -0.0237   0.0096   1.0000
  12.200   1.4371   0.02340   0.01841  -0.0233   0.0095   1.0000
  12.300   1.4439   0.02379   0.01883  -0.0229   0.0094   1.0000
  12.400   1.4507   0.02419   0.01926  -0.0225   0.0093   1.0000
  12.500   1.4576   0.02456   0.01965  -0.0221   0.0090   1.0000
  12.600   1.4623   0.02516   0.02029  -0.0216   0.0090   1.0000
  12.700   1.4661   0.02580   0.02097  -0.0209   0.0087   1.0000
  12.800   1.4682   0.02660   0.02184  -0.0201   0.0087   1.0000
  12.900   1.4674   0.02759   0.02289  -0.0191   0.0084   1.0000
  13.000   1.4713   0.02815   0.02350  -0.0185   0.0084   1.0000
  13.100   1.4772   0.02852   0.02391  -0.0180   0.0083   1.0000
  13.200   1.4871   0.02851   0.02392  -0.0180   0.0082   1.0000
  13.300   1.4853   0.02935   0.02482  -0.0167   0.0082   1.0000
  13.400   1.4923   0.02953   0.02503  -0.0163   0.0080   1.0000
  13.500   1.4879   0.03050   0.02607  -0.0150   0.0081   1.0000
  13.600   1.4900   0.03104   0.02666  -0.0142   0.0080   1.0000
  13.700   1.4942   0.03145   0.02710  -0.0138   0.0078   1.0000
  13.800   1.4940   0.03223   0.02793  -0.0131   0.0078   1.0000
  13.900   1.4989   0.03258   0.02830  -0.0128   0.0076   1.0000
  14.000   1.4870   0.03451   0.03034  -0.0121   0.0078   1.0000
  14.100   1.4998   0.03421   0.03002  -0.0120   0.0074   1.0000
  14.200   1.4981   0.03532   0.03119  -0.0119   0.0075   1.0000
  14.300   1.5004   0.03602   0.03193  -0.0118   0.0073   1.0000
  14.400   1.4963   0.03755   0.03352  -0.0120   0.0074   1.0000
  14.500   1.4981   0.03844   0.03445  -0.0121   0.0072   1.0000
  14.600   1.4923   0.04035   0.03643  -0.0127   0.0072   1.0000
  14.700   1.4966   0.04103   0.03712  -0.0129   0.0071   1.0000
  14.800   1.4926   0.04288   0.03905  -0.0137   0.0070   1.0000
  14.900   1.4860   0.04516   0.04140  -0.0148   0.0071   1.0000
  15.000   1.4868   0.04647   0.04275  -0.0155   0.0070   1.0000
  15.100   1.4841   0.04835   0.04468  -0.0165   0.0070   1.0000
  15.200   1.4771   0.05094   0.04734  -0.0180   0.0069   1.0000
  15.300   1.4784   0.05228   0.04870  -0.0188   0.0068   1.0000
  15.400   1.4651   0.05598   0.05250  -0.0209   0.0069   1.0000
  15.500   1.4654   0.05766   0.05419  -0.0220   0.0067   1.0000
  15.600   1.4605   0.06011   0.05671  -0.0234   0.0067   1.0000
  15.700   1.4355   0.06588   0.06262  -0.0266   0.0070   1.0000
  15.800   1.4353   0.06757   0.06434  -0.0276   0.0070   1.0000
  15.900   1.4332   0.06967   0.06646  -0.0288   0.0068   1.0000
  16.000   1.4212   0.07341   0.07026  -0.0309   0.0068   1.0000
  16.100   1.4165   0.07590   0.07279  -0.0322   0.0067   1.0000
  16.200   1.4054   0.07952   0.07648  -0.0342   0.0068   1.0000
  16.300   1.3903   0.08376   0.08079  -0.0364   0.0068   1.0000
  16.400   1.3788   0.08744   0.08454  -0.0383   0.0069   1.0000
  16.500   1.3728   0.09025   0.08739  -0.0398   0.0068   1.0000
  16.600   1.3583   0.09448   0.09168  -0.0420   0.0069   1.0000
  16.700   1.3473   0.09816   0.09542  -0.0440   0.0069   1.0000
  16.800   1.3346   0.10223   0.09954  -0.0461   0.0070   1.0000
  16.900   1.3272   0.10540   0.10275  -0.0478   0.0070   1.0000
  17.000   1.3153   0.10940   0.10680  -0.0500   0.0070   1.0000
  17.100   1.3071   0.11277   0.11022  -0.0518   0.0070   1.0000
  17.200   1.2988   0.11615   0.11363  -0.0536   0.0070   1.0000
  17.300   1.2899   0.11969   0.11721  -0.0555   0.0069   1.0000
  17.400   1.2794   0.12352   0.12110  -0.0575   0.0070   1.0000
  17.500   1.2729   0.12671   0.12432  -0.0593   0.0070   1.0000
  17.600   1.2658   0.13005   0.12770  -0.0611   0.0070   1.0000
  17.700   1.2592   0.13323   0.13091  -0.0628   0.0070   1.0000
  17.800   1.2516   0.13667   0.13440  -0.0647   0.0070   1.0000
  17.900   1.2458   0.13977   0.13753  -0.0665   0.0069   1.0000
  18.000   1.2396   0.14298   0.14077  -0.0682   0.0069   1.0000
  18.100   1.2335   0.14615   0.14398  -0.0700   0.0069   1.0000
  18.200   1.2284   0.14920   0.14705  -0.0718   0.0069   1.0000
  18.300   1.2228   0.15234   0.15022  -0.0735   0.0069   1.0000
  18.400   1.2187   0.15520   0.15311  -0.0752   0.0068   1.0000
  18.500   1.2129   0.15848   0.15643  -0.0771   0.0068   1.0000
  18.600   1.2094   0.16122   0.15918  -0.0787   0.0068   1.0000
  18.700   1.2047   0.16432   0.16233  -0.0805   0.0068   1.0000
  18.800   1.2004   0.16734   0.16537  -0.0823   0.0068   1.0000
  18.900   1.1963   0.17033   0.16839  -0.0841   0.0068   1.0000
  19.000   1.1931   0.17305   0.17113  -0.0858   0.0067   1.0000
  19.100   1.1874   0.17649   0.17461  -0.0878   0.0067   1.0000
  19.200   1.1848   0.17913   0.17727  -0.0894   0.0066   1.0000
  19.300   1.1817   0.18195   0.18011  -0.0912   0.0066   1.0000
  19.400   1.1763   0.18548   0.18367  -0.0934   0.0065   1.0000
  19.500   1.1717   0.18874   0.18695  -0.0954   0.0065   1.0000
  19.600   1.1665   0.19234   0.19060  -0.0977   0.0064   1.0000
  19.700   1.1621   0.19582   0.19411  -0.0998   0.0065   1.0000
  19.800   1.1528   0.20079   0.19913  -0.1029   0.0063   1.0000
  19.900   1.1438   0.20591   0.20430  -0.1060   0.0063   1.0000
